title,total_time,image,ingredients,rating_val,rating_count,category,cuisine,diet,vegan,vegetarian,url
Avocado pasta with peas and mint ,40 minutes,https://ichef.bbci.co.uk/food/ic/food_16x9_1600/recipes/avocado_pasta_with_peas_31700_16x9.jpg,"375g/13oz pasta, such as penne or fusilli
1 large avocado (or 2 small) 
2 garlic cloves
2 tbsp coconut oil, melted
Â½ tsp salt 
1 lemon, juice and zest 
6 fresh mint leaves
150g/5Â½oz fresh peas (or frozen and defrosted) 
1 large red chilli (optional) ",4.0,37,Main course,N/A,"http://schema.org/LowLactoseDiet
http://schema.org/LowCalorieDiet
http://schema.org/VeganDiet
http://schema.org/VegetarianDiet",Vegan,Vegetarian,https://www.bbc.co.uk/food/recipes/avocado_pasta_with_peas_31700
Ackee and saltfish,60 minutes,https://ichef.bbci.co.uk/food/ic/food_16x9_1600/recipes/ackee_and_saltfish_with_73421_16x9.jpg,"1 tbsp vegetable oil
2 onions, thinly sliced 
3 tbsp finely crushed garlic 
pinch thyme leaves 
1 tsp finely chopped Scotch bonnet chilli
Â½ green pepper, finely chopped 
Â½ red pepper, finely chopped 
1 tomato, finely chopped 
240g/8Â¾oz boiled salt cod, broken into flakes
200g/7oz tinned ackee, drained and left whole
1 red pepper, deseeded and thinly sliced
1 green pepper, deseeded and thinly sliced 
1 onion, thinly sliced
2 sprigs fresh thyme, leaves picked
2 garlic cloves, thinly sliced 
Â¼ scotch bonnet chilli, deseeded and finely chopped
2 tbsp olive oil 
100ml/3Â½fl oz white wine vinegar 
50g/1Â¾oz caster sugar
2 free-range eggs
1 avocado, destoned, peeled and sliced",5.0,3,Main course,Caribbean,N/A,Not Vegan,Not Vegetarian,https://www.bbc.co.uk/food/recipes/ackee_and_saltfish_with_73421
'Marry me' chicken pasta ,40 minutes,https://ichef.bbci.co.uk/food/ic/food_16x9_1600/recipes/marry_me_chicken_pasta_65627_16x9.jpg,"2 medium chicken breasts, butterflied
2 tbsp plain flour  
olive oil, for frying 
25g/1oz butter  
2 garlic cloves, finely chopped  
75g/2Â½oz sun-dried tomatoes, finely chopped  
Â½ tsp dried thyme  
Â½ tsp dried oregano  
1 tsp ground paprika  
Â½ tsp chilli flakes (optional)  
Â½ lemon, zest and juice
75g/2Â½oz spinach  
100g/3Â½oz pappardelle pasta 
170g/6oz mascarpone
50g/1Â¾oz parmesan, freshly grated 
salt and freshly ground black pepper  
torn basil leaves, to serve",4.560975609756097,41,Main course,Italian,N/A,Not Vegan,Not Vegetarian,https://www.bbc.co.uk/food/recipes/marry_me_chicken_pasta_65627
Easy spaghetti carbonara,60 minutes,https://ichef.bbci.co.uk/food/ic/food_16x9_1600/recipes/spaghettiallacarbona_73311_16x9.jpg,"Â½ tbsp olive oil 
75g/2Â½ oz pancetta, chopped
200g/7oz dried spaghetti 
2 large free-range eggs
100g/3Â½oz Parmesan, grated, plus extra for serving
1 tbsp full-fat milk (optional)
salt and freshly ground pepper",3.9166666666666665,72,Main course,Italian,N/A,Not Vegan,Not Vegetarian,https://www.bbc.co.uk/food/recipes/spaghettiallacarbona_73311
Smoked salmon pasta,60 minutes,https://ichef.bbci.co.uk/food/ic/food_16x9_1600/recipes/smoked_salmon_courgette_49013_16x9.jpg,"1 tbsp olive oil
2 garlic cloves, finely sliced
Â¼ tsp chilli flakes
2 courgettes, coarsely grated
200g/7oz dried spaghetti
2 tbsp crÃ¨me fraÃ®che
Â½ lemon, finely grated zest and juice
100g/3Â½oz smoked salmon, chopped
40g/1Â½oz rocket leaves
salt and freshly ground black pepper",4.821428571428571,56,Main course,N/A,http://schema.org/LowCalorieDiet,Not Vegan,Not Vegetarian,https://www.bbc.co.uk/food/recipes/smoked_salmon_courgette_49013
Vegan mushroom stroganoff ,60 minutes,https://ichef.bbci.co.uk/food/ic/food_16x9_1600/recipes/vegan_mushroom_80921_16x9.jpg,"160g/5Â¾oz dried pappardelle or fettuccine pasta
1 tsp olive oil
3 shallots, peeled and finely diced
3 garlic cloves, finely chopped
180g/6âoz mixed mushrooms (such as oyster, shiitake, maitake, eryngii) or brown mushrooms, roughly chopped
2 tbsp vegan âbutterâ
2 tsp smoked paprika
Â½ tsp Dijon mustard 
1 tsp tamari
125ml/4fl oz vegetable stock
125ml/4fl oz plant-based crÃ¨me fraÃ®che or single cream alternative
Â½ lemon, juice only 
salt and freshly ground black pepper
2 fresh thyme sprigs, to garnish",4.482758620689655,58,Main course,N/A,"http://schema.org/LowLactoseDiet
http://schema.org/VeganDiet
http://schema.org/VegetarianDiet",Vegan,Vegetarian,https://www.bbc.co.uk/food/recipes/vegan_mushroom_80921
Rib-eye steak with bÃ©arnaise sauce,60 minutes,https://ichef.bbci.co.uk/food/ic/food_16x9_1600/recipes/rib-eye_steak_with_61963_16x9.jpg,"2 tbsp olive oil
2 rib-eye steaks
salt and freshly ground black pepper
250g/9oz butter
3 tbsp white wine vinegar
2 shallots, sliced
1 large bunch tarragon, stalks and leaves separated and chopped
few peppercorns
2 free-range egg yolks
1 lemon, juice only
500g/1lb 2oz floury potatoes, peeled and cut into 2cm/1in cubes
6 tbsp olive oil
3 bulbs garlic, cloves separated, unpeeled
4 sprigs fresh rosemary, leaves separated
1 bunch watercress
1 banana shallot, sliced
2 tbsp white wine vinegar
1 tbsp Dijon mustard
4 tbsp olive oil",5.0,2,Main course,N/A,N/A,Not Vegan,Not Vegetarian,https://www.bbc.co.uk/food/recipes/rib-eye_steak_with_61963
Duck ragÃº with fresh pappardelle,150 minutes,https://ichef.bbci.co.uk/food/ic/food_16x9_1600/recipes/pappardelle_with_duck_31170_16x9.jpg,"2 duck breasts, trimmed and cut into 1cm cubes (skin reserved)
1 tbsp olive oil
1 red onion, finely chopped
2 sticks celery, finely chopped
1 tsp chopped fresh thyme
90g/3Â¼oz cooked chestnuts, finely chopped
150ml/5fl oz red wine (ideally Valpolicella )
5 tbsp port 
salt and freshly ground black pepper 
6 slices thinly cut pancetta, sliced into very fine matchsticks
90g/3Â¼oz cooked chestnuts, finely chopped
Â½ tsp fresh thyme 
250g/9oz fresh pappardelle
50g/1Â¾oz unsalted butter
75g/2Â½oz grated Parmesan, plus extra to serve",4.5,68,Main course,Italian,N/A,Not Vegan,Not Vegetarian,https://www.bbc.co.uk/food/recipes/pappardelle_with_duck_31170
Baked sea bream Rota-style,90 minutes,https://ichef.bbci.co.uk/food/ic/food_16x9_1600/recipes/baked_sea_bream_28386_16x9.jpg,"3 large waxy potatoes, peeled and cut into thick slices
5 tbsp olive oil
1 large onion, sliced
1 garlic clove, chopped
1 large green pepper, seeds removed, sliced
300g/10Â½oz tomatoes, skinned and chopped
1 bay leaf
2 x 400g/14oz whole sea bream, scaled and gutted
Â½ lemon, juice only
4 tbsp dry sherry
small handful flatleaf parsley, leaves chopped, to serve
salt and freshly ground black pepper
small handful flatleaf parsley, chopped
2 large garlic cloves, roughly chopped
Â½ tsp sea salt",4.407407407407407,27,Main course,Spanish,"http://schema.org/LowLactoseDiet
http://schema.org/GlutenFreeDiet",Not Vegan,Not Vegetarian,https://www.bbc.co.uk/food/recipes/baked_sea_bream_28386
King prawn and scallop stir fry,40 minutes,https://ichef.bbci.co.uk/food/ic/food_16x9_1600/recipes/king_prawn_and_scallop_49681_16x9.jpg,"2 tbsp groundnut oil 
1 garlic clove, thinly sliced
10g fresh root ginger, cut into matchsticks
6 king prawns, peeled and deveined 
3 scallops, each cut in half to make 2 discs (6 discs in total) 
sea salt flakes and pepper, to taste
1-1Â½ tbsp Shaoxing rice wine, to taste
1 spring onion, cut into strips
4 sprigs choi sum, or other Chinese greens
1 pak choi, cut into 4
30g/1oz mangetout, cut in half lengthways on an angle
Â½ red chilli, thinly sliced on an angle
1-2 tbsp light soy sauce, to taste
1 tsp sesame oil",4.45,20,Main course,Chinese,http://schema.org/LowLactoseDiet,Not Vegan,Not Vegetarian,https://www.bbc.co.uk/food/recipes/king_prawn_and_scallop_49681
